experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
plusblg_40_5x7gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_5x7gc_3_gs_1_alph_0.png,450x375,None,5x7,blg_gs_1_gc_3_alpha_0,FALSE,816270,423.6358882,4.952734024,8355.852919,0.353451205,0.146366769,0.089313885,0.069697595,52.61982489
plusblg_40_3x5gc_3_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x5gc_3_gs_2_alph_0.png,450x375,None,3x5,blg_gs_2_gc_3_alpha_0,FALSE,873002,452.8979807,5.296956532,8639.61932,0.35879669,0.154357692,0.095247919,0.077130306,33.3550086
plusblg_40_3x5gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x5gc_3_gs_1_alph_0.png,450x375,None,3x5,blg_gs_1_gc_3_alpha_0,FALSE,859092,442.0604689,5.212557338,8535.623586,0.35977356,0.155868505,0.095872873,0.076299056,43.59317422
plusblg_40_5x7gc_2_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_5x7gc_2_gs_2_alph_0.png,450x375,None,5x7,blg_gs_2_gc_2_alpha_0,FALSE,948138,528.4589836,5.752845667,9332.54424,0.358936243,0.153229134,0.095963886,0.076062423,35.12488699
plusblg_40_3x5gc_2_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x5gc_2_gs_2_alph_0.png,450x375,None,3x5,blg_gs_2_gc_2_alpha_0,FALSE,886596,453.4835692,5.37943839,8645.202947,0.362570687,0.158744509,0.097523239,0.078604713,45.57982206
plusblg_40_5x7gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_5x7gc_2_gs_1_alph_0.png,450x375,None,5x7,blg_gs_1_gc_2_alpha_0,FALSE,934342,510.4414606,5.66913817,9172.070541,0.362340121,0.157270102,0.09793583,0.077275927,42.10323381
plusblg_40_7x3gc_3_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_7x3gc_3_gs_2_alph_0.png,450x375,None,7x3,blg_gs_2_gc_3_alpha_0,FALSE,720414,323.2635366,4.371125889,7299.158171,0.362679902,0.158926534,0.100581268,0.068526564,39.25122619
plusblg_40_3x5gc_2_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_3x5gc_2_gs_1_alph_0.png,450x375,None,3x5,blg_gs_1_gc_2_alpha_0,FALSE,931638,498.5847026,5.652731597,9064.918202,0.366120185,0.162882557,0.101376113,0.080467442,41.73433065
plusblg_40_7x3gc_3_gs_1_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_7x3gc_3_gs_1_alph_0.png,450x375,None,7x3,blg_gs_1_gc_3_alpha_0,FALSE,778786,366.5450938,4.725299129,7772.453281,0.36444555,0.162736937,0.105963158,0.074108681,44.07117629
plusblg_40_7x3gc_2_gs_2_alph_0,40,-20,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingQ\Teddy\disp0plusblg_40_7x3gc_2_gs_2_alph_0.png,450x375,None,7x3,blg_gs_2_gc_2_alpha_0,FALSE,876224,451.771655,5.31650608,8628.869567,0.369475524,0.167609155,0.107552848,0.076110963,46.1986053
