experiment_id,match,gap,egap,algo,init_method,dataset,scene,image_filename,img_res,preprocessing_method,kernel_size,kernel_spec,are_occlusions_errors,abs_error,mse,avg,eucledian,bad1,bad2,bad4,bad8,runtime
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingH\Adirondack\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1436x992,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,27448658.35,4107.684283,19.34246386,76348.97167,0.651257709,0.438376619,0.252390972,0.15787534,406.3333461
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingH\ArtL\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,694x554,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,8681400,4725.878158,22.63256687,42576.42944,0.555680692,0.291980812,0.240022942,0.183779133,91.34262133
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingH\Jadeplant\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1318x994,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,149270845.9,68874.58355,115.7548417,298021.3702,0.61962106,0.504088658,0.415679818,0.364948668,308.8006465
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingH\MotorcycleE\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1482x994,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,34654328.89,6130.108842,24.04551834,93993.05545,0.628911245,0.426999917,0.252102939,0.176903643,355.8564365
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Motorcycle,benchmarking\MiddEval\MiddEval3\trainingH\Motorcycle\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1482x994,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,27717065.58,4995.150547,19.23197563,84846.89731,0.621112867,0.412479349,0.213864586,0.14002874,418.3558016
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PianoL,benchmarking\MiddEval\MiddEval3\trainingH\PianoL\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1414x962,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,67449931.76,15040.20485,52.37975302,139166.8861,0.754455584,0.626391812,0.508588114,0.435226099,351.655297
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Piano,benchmarking\MiddEval\MiddEval3\trainingH\Piano\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1414x962,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,33202961.47,4411.695645,25.78450231,75372.30658,0.673935902,0.484912752,0.347464103,0.286423185,349.7594025
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Pipes,benchmarking\MiddEval\MiddEval3\trainingH\Pipes\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1470x970,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,46922926.44,8009.984035,34.12534277,104946.9591,0.589447258,0.408258225,0.274600241,0.224564496,387.2965906
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playroom,benchmarking\MiddEval\MiddEval3\trainingH\Playroom\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1398x952,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,41318729,8976.371506,32.82205166,106301.8992,0.67737997,0.535274067,0.380273277,0.284852062,410.9969547
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,PlaytableP,benchmarking\MiddEval\MiddEval3\trainingH\PlaytableP\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1362x924,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,23634305.34,4488.122911,19.30046347,74134.42492,0.5994932,0.37945165,0.234505686,0.174160873,368.7187068
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Playtable,benchmarking\MiddEval\MiddEval3\trainingH\Playtable\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1360x926,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,60645800.19,12249.57758,49.48270082,122527.6837,0.737533412,0.625990131,0.500679669,0.411721318,355.8485119
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Recycle,benchmarking\MiddEval\MiddEval3\trainingH\Recycle\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1440x972,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,18962304.11,2309.443827,13.77951252,56374.45138,0.658928744,0.444692081,0.257381063,0.16755915,670.3624587
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Shelves,benchmarking\MiddEval\MiddEval3\trainingH\Shelves\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1476x994,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,41298136.87,4389.375272,31.34999857,76041.00065,0.770711859,0.645802668,0.518998728,0.426301027,487.5116842
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Teddy,benchmarking\MiddEval\MiddEval3\trainingH\Teddy\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,900x750,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,7302888,2256.929844,11.07669626,38574.58179,0.576301907,0.177020546,0.111944147,0.087767063,183.9189532
trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Vintage,benchmarking\MiddEval\MiddEval3\trainingH\Vintage\disp0trunc_plusblg_30_11x15no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1444x960,None,11x15,blg_gs_1_gc_5_alpha_30,FALSE,75733265.77,25645.41658,56.00413063,186225.0894,0.759443311,0.633977431,0.49412104,0.36567279,503.5558076
trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Adirondack,benchmarking\MiddEval\MiddEval3\trainingH\Adirondack\disp0trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1436x992,None,21x21,blg_gs_1_gc_5_alpha_30,FALSE,26196698.36,3868.004448,18.46023527,74088.04692,0.647983775,0.432447459,0.248931004,0.150436055,604.7499764
trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,ArtL,benchmarking\MiddEval\MiddEval3\trainingH\ArtL\disp0trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,694x554,None,21x21,blg_gs_1_gc_5_alpha_30,FALSE,7705712,3745.214766,20.0889306,37902.36774,0.559189739,0.285280776,0.218783565,0.177913343,157.8888032
trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,Jadeplant,benchmarking\MiddEval\MiddEval3\trainingH\Jadeplant\disp0trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1318x994,None,21x21,blg_gs_1_gc_5_alpha_30,FALSE,160935605.5,73953.59739,124.8004956,308814.4165,0.621513978,0.507047846,0.427181567,0.381431251,605.6342239
trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30,30,-12,-1,components.matchers.NumbaPatchMatcherBilateral,maclean_et_al,Middlebury_2014,MotorcycleE,benchmarking\MiddEval\MiddEval3\trainingH\MotorcycleE\disp0trunc_plusblg_30_21x21no_infmge_30_-12_-1_gc_5_gs_1_a_30.png,1482x994,None,21x21,blg_gs_1_gc_5_alpha_30,FALSE,32534602.34,5525.565194,22.57470862,89238.04111,0.630085269,0.428921931,0.248950005,0.171089032,908.5679576
